Kortrijk-vevelgem, Belgium, 50.818, 3.208 
Liege, Belgium, 50.637, 5.443 
Ostend, Belgium, 51.199, 2.862 
Zutendaal, Belgium, 50.948, 5.592 
Sint-truiden, Belgium, 50.788, 5.193 
Ursel, Belgium, 51.144, 3.474 
Weelde, Belgium, 51.395, 4.961 
Zoersel, Belgium, 51.266, 4.755 
Bautzen, Germany, 51.193, 14.52 
Altenburg, Germany, 50.982, 12.506 
Dessau, Germany, 51.832, 12.186 
Eisenhuettenstadt, Germany, 52.197, 14.586 
Heringsdorf, Germany, 53.879, 14.152 
Suhl, Germany, 51.308, 13.555 
Muehlhausen, Germany, 51.363, 11.941 
Halle, Germany, 51.552, 12.053 
Riesa, Germany, 51.294, 13.359 
Rechlin-laerz, Germany, 53.306, 12.753 
Strausberg, Germany, 52.58, 13.916 
Schoenhagen, Germany, 52.203, 13.159 
Cochstedt, Germany, 51.856, 11.418 
Gotha ost, Germany, 35.461, -77.965 
Barth, Germany, 54.338, 12.71 
Jena, Germany, 50.917, 11.714 
Kyritz, Germany, 52.919, 12.425 
Magdeburg, Germany, 52.074, 11.626 
Neubrandenburg, Germany, 51.328, 12.657 
Rothenburg/ol, Germany, 51.364, 14.952 
Anklam, Germany, 53.833, 13.669 
Cottbus, Germany, 51.889, 14.532 
Koethen, Germany, 51.721, 11.962 
Kamenz, Germany, 51.296, 14.129 
Berlin, Germany, 52.38, 13.523 
Dresden, Germany, 51.133, 13.767 
Erfurt, Germany, 50.98, 10.958 
Frankfurt, Germany, 50.026, 8.543 
Muenster/osnabrueck, Germany, 52.134, 7.685 
Hamburg, Germany, 53.63, 9.988 
Berlin, Germany, 52.473, 13.404 
Cologne, Germany, 50.866, 7.143 
Duesseldorf, Germany, 51.289, 6.767 
Munich, Germany, 48.354, 11.786 
Nuernberg, Germany, 49.499, 11.078 
Leipzig, Germany, 51.424, 12.236 
Saarbruecken, Germany, 49.214, 7.109 
Stuttgart, Germany, 48.69, 9.222 
Berlin, Germany, 52.559, 13.287 
Hannover, Germany, 52.461, 9.685 
Bremen, Germany, 53.047, 8.787 
Egelsbach, Germany, 49.961, 8.644 
Hahn, Germany, 49.95, 7.264 
Mannheim, Germany, 49.473, 8.514 
Allendorf, Germany, 51.035, 8.679 
Worms, Germany, 49.606, 8.368 
Mainz, Germany, 49.969, 8.147 
Eisenach, Germany, 50.993, 10.473 
Siegerland, Germany, 50.708, 8.082 
Hamburg, Germany, 53.535, 9.835 
Kiel, Germany, 54.379, 10.145 
Luebeck, Germany, 53.805, 10.719 
Aachen, Germany, 50.823, 6.187 
Dahlemer binz, Germany, 50.406, 6.528 
Meinerzhagen, Germany, 51.099, 7.602 
Arnsberg, Germany, 51.483, 7.899 
Kamp, Germany, 51.53, 6.537 
Essen, Germany, 51.401, 6.936 
Moenchengladbach, Germany, 51.23, 6.504 
Paderborn, Germany, 51.614, 8.616 
Stadtlohn, Germany, 51.996, 6.84 
Dortmund, Germany, 51.518, 7.612 
Augsburg, Germany, 48.425, 10.932 
Biberach, Germany, 48.111, 9.763 
Eggenfelden, Germany, 48.396, 12.724 
Oberpfaffenhofen, Germany, 48.081, 11.283 
Straubing, Germany, 48.901, 12.518 
Vilshofen, Germany, 48.636, 13.195 
Leutkirch, Germany, 47.859, 10.014 
Friedrichshafen, Germany, 47.671, 9.511 
Parchim, Germany, 53.427, 11.783 
Stendal, Germany, 52.629, 11.82 
Aalen-heidenheim, Germany, 48.778, 10.264 
Coburg, Germany, 50.263, 10.996 
Bayreuth, Germany, 49.984, 11.638 
Burg feuerstein, Germany, 49.794, 11.132 
Hof, Germany, 50.289, 11.855 
Rosenthal, Germany, 49.863, 11.788 
Hassfurt, Germany, 50.018, 10.529 
Koblenz, Germany, 50.325, 7.531 
Trier, Germany, 49.863, 6.789 
Speyer, Germany, 49.302, 8.451 
Zweibruecken, Germany, 49.209, 7.401 
Baden-baden, Germany, 48.791, 8.187 
Donaueschingen, Germany, 47.973, 8.522 
Freiburg, Germany, 48.02, 7.834 
Karlsruhe, Germany, 48.982, 8.333 
Mengen, Germany, 48.054, 9.373 
Schwaebisch hall, Germany, 49.118, 9.777 
Soest, Germany, 51.608, 13.738 
Braunschweig, Germany, 52.319, 10.556 
Kassel, Germany, 51.408, 9.378 
Hildesheim, Germany, 52.177, 9.946 
Bremerhaven, Germany, 53.503, 8.573 
Lemwerder, Germany, 53.143, 8.623 
Emden, Germany, 53.391, 7.227 
Leer, Germany, 53.272, 7.443 
Wilhelmshaven, Germany, 53.505, 8.053 
Borkum, Germany, 53.595, 6.709 
Norderney, Germany, 53.707, 7.23 
Flensburg, Germany, 54.772, 9.378 
Rendsburg, Germany, 54.221, 9.601 
Westerland, Germany, 54.913, 8.34 
Armari air force base, Estonia, 59.259, 24.204 
Kardla, Estonia, 58.991, 22.831 
Kuressaare, Estonia, 58.23, 22.509 
Parnu, Estonia, 58.419, 24.473 
Tallinn-ulemiste international, Estonia, 59.413, 24.833 
Tartu-ulenurme, Estonia, 58.307, 26.69 
Enontekio, Finland, 68.362, 23.424 
Eura, Finland, 61.116, 22.201 
Halli, Finland, 61.856, 24.786 
Helsinki, Finland, 60.254, 25.043 
Helsinki, Finland, 60.32, 24.956 
Hameenkyro, Finland, 61.689, 23.074 
Hanko, Finland, 59.849, 23.083 
Hyvinkaa, Finland, 60.654, 24.881 
Kikala, Finland, 60.463, 23.652 
Immola, Finland, 61.249, 28.904 
Kitee, Finland, 62.166, 30.074 
Ivalo, Finland, 68.607, 27.405 
Joensuu, Finland, 62.659, 29.624 
Jyvaskyla, Finland, 62.399, 25.678 
Kauhava, Finland, 63.127, 23.051 
Kemi, Finland, 65.782, 24.599 
Kajaani, Finland, 64.285, 27.692 
Kauhajoki, Finland, 62.463, 22.393 
Kruunupyy, Finland, 63.721, 23.143 
Kemijarvi, Finland, 66.713, 27.157 
Kuusamo, Finland, 65.987, 29.239 
